銘柄コード(Ticker Symbol),銘柄名(Company Name),市場(Market)
AWR,American States Water,NYSE
DOV,Dover Corp.,NYSE
GPC,Genuine Parts Co.,NYSE
NWN,Northwest Natural Gas,NYSE
PG,Procter & Gamble Co.,NYSE
PH,Parker-Hannifin Corp.,NYSE
EMR,Emerson Electric,NYSE
MMM,3M Company,NYSE
CINF,Cincinnati Financial,NASDAQ
JNJ,Johnson & Johnson,NYSE
KO,Coca-Cola Company,NYSE
LOW,Lowe's Companies,NYSE
CL,Colgate-Palmolive Co.,NYSE
FMCB,Farmers & Merchants Bancorp,
LANC,Lancaster Colony Corp.,NASDAQ
NDSN,Nordson Corp.,NASDAQ
HRL,Hormel Foods Corp.,NYSE
ABM,ABM Industries Inc.,NYSE
CWT,California Water Service,NYSE
FRT,Federal Realty Inv. Trust,NYSE
SJW,SJW Corp.,NYSE
SWK,Stanley Black & Decker,NYSE
TGT,Target Corp.,NYSE
TR,Tootsie Roll Industries,NYSE
CBSH,Commerce Bancshares,NASDAQ
SCL,Stepan Company,NYSE
CTWS,Connecticut Water Service,NASDAQ
FUL,H.B. Fuller Company,NYSE
MO,Altria Group Inc.,NYSE
NFG,National Fuel Gas,NYSE
SYY,Sysco Corp.,NYSE
BKH,Black Hills Corp.,NYSE
CSVI,Computer Services Inc.,
GWW,W.W. Grainger Inc.,NYSE
LEG,Leggett & Platt Inc.,NYSE
MSA,MSA Safety Inc.,NYSE
PPG,PPG Industries Inc.,NYSE
UVV,Universal Corp.,NYSE
BDX,Becton Dickinson & Co.,NYSE
KMB,Kimberly-Clark Corp.,NYSE
PEP,PepsiCo Inc.,NASDAQ
TNC,Tennant Company,NYSE
GRC,Gorman-Rupp Company,NYSE
HP,Helmerich & Payne Inc.,NYSE
MSEX,Middlesex Water Co.,NASDAQ
NUE,Nucor Corp.,NYSE
SPGI,S&P Global Inc.,NYSE
VFC,VF Corp.,NYSE
WMT,Wal-Mart Inc.,NYSE
ED,Consolidated Edison,NYSE
ITW,Illinois Tool Works,NYSE
RPM,RPM International Inc.,NYSE
TDS,Telephone & Data Sys.,NYSE
ADM,Archer Daniels Midland,NYSE
ADP,Automatic Data Proc.,NASDAQ
MGEE,MGE Energy Inc.,NASDAQ
RLI,RLI Corp.,NYSE
UBSI,United Bankshares Inc.,NASDAQ
WBA,Walgreens Boots Alliance Inc.,NASDAQ
CSL,Carlisle Companies,NYSE
MCD,McDonald's Corp.,NYSE
PNR,Pentair Ltd.,NYSE
CLX,Clorox Company,NYSE
MDT,Medtronic plc,NYSE
SHW,Sherwin-Williams Co.,NYSE
BEN,Franklin Resources,NYSE
CTBI,Community Trust Banc.,NASDAQ
EV,Eaton Vance Corp.,NYSE
ORI,Old Republic International,NYSE
WEYS,Weyco Group Inc.,NASDAQ
AFL,AFLAC Inc.,NYSE
APD,Air Products & Chem.,NYSE
SON,Sonoco Products Co.,NYSE
XOM,ExxonMobil Corp.,NYSE
CTAS,Cintas Corp.,NASDAQ
ATO,Atmos Energy,NYSE
BF-B,Brown-Forman Class B,
T,AT&T Inc.,NYSE
NC,NACCO Industries,NYSE
UHT,Universal Health Realty Trust,NYSE
BRC,Brady Corp.,NYSE
DCI,Donaldson Company,NYSE
EFSI,Eagle Financial Services,
MKC,McCormick & Co.,NYSE
TROW,T. Rowe Price Group,NASDAQ
CVX,Chevron Corp.,NYSE
MCY,Mercury General Corp.,NYSE
SRCE,1st Source Corp.,NASDAQ
TMP,Tompkins Financial Corp.,AMEX
UGI,UGI Corp.,NYSE
THFF,First Financial Corp.,NASDAQ
NNN,National Retail Properties,NYSE
ERIE,Erie Indemnity Company,NASDAQ
JKHY,Jack Henry & Associates,NASDAQ
TYCB,Calvin B. Taylor Bankshares Inc.,
CBU,Community Bank System,NYSE
CPKF,Chesapeake Financial Shares,
GD,General Dynamics,NYSE
MDU,MDU Resources,NYSE
SEIC,SEI Investments Company,NASDAQ
WABC,Westamerica Bancorp,NASDAQ
ARTNA,Artesian Resources,NASDAQ
BMI,Badger Meter Inc.,NYSE
ECL,Ecolab Inc.,NYSE
FELE,Franklin Electric Co.,NASDAQ
MGRC,McGrath Rentcorp,NASDAQ
PBCT,People's United Financial,NASDAQ
UMBF,UMB Financial Corp.,NASDAQ
WST,West Pharmaceutical Services,NYSE
WTR,Aqua America Inc.,NYSE
ATR,AptarGroup Inc.,NYSE
BANF,BancFirst Corp. OK,NASDAQ
CAT,Caterpillar Inc.,NYSE
CB,Chubb Limited,NYSE
CFR,Cullen/Frost Bankers,NYSE
JW-A,John Wiley & Sons Inc.,
LIN,Linde Plc,NYSE
MDP,Meredith Corp.,NYSE
O,Realty Income Corp.,NYSE
PSBQ,PSB Holdings Inc.,
ROP,Roper Technologies Inc.,NYSE
SKT,Tanger Factory Outlet Centers,NYSE
SYK,Stryker Corp.,NYSE
TRI,Thomson Reuters Corp.,NYSE
ALB,Albemarle Corp.,NYSE
AOS,A.O. Smith Corp.,NYSE
AROW,Arrow Financial Corp.,NASDAQ
BRO,Brown & Brown Inc.,NYSE
EBTC,Enterprise Bancorp Inc.,NASDAQ
ESS,Essex Property Trust,NYSE
EXPD,Expeditors International,NASDAQ
NEE,NextEra Energy Inc.,NYSE
ROST,Ross Stores Inc.,NASDAQ
SBSI,Southside Bancshares,NASDAQ
UBA,Urstadt Biddle Properties,NYSE
UTX,United Technologies,NYSE
CNI,Canadian National Railway,NYSE
IBM,International Business Machines,NYSE
LECO,Lincoln Electric Holdings,NASDAQ
MATW,Matthews International,NASDAQ
NIDB,Northeast Indiana Bancorp,
PII,Polaris Industries,NYSE
RNR,RenaissanceRe Holdings,NYSE
CAH,Cardinal Health Inc.,NYSE
CHD,Church & Dwight,NYSE
ENB,Enbridge Inc.,NYSE
FLIC,First of Long Island Corp.,NASDAQ
NJR,New Jersey Resources,NYSE
OZK,Bank OZK,NASDAQ
TJX,TJX Companies Inc.,NYSE
CCFN,CCFNB Bancorp Inc.,
EPD,Enterprise Products Partners LP,NYSE
GGG,Graco Inc.,NYSE
SJM,J.M. Smucker Co.,NYSE
WPC,W.P. Carey Inc.,NYSE
YORW,York Water Company,NASDAQ
CATC,Cambridge Bancorp,NASDAQ
CHRW,C.H. Robinson Worldwide,NASDAQ
CZFS,Citizens Financial Services,
ES,Eversource Energy,NYSE
FDS,Factset Research System Inc.,NYSE
NWFL,Norwood Financial,NASDAQ
PB,Prosperity Bancshares,NYSE
RBCAA,Republic Bancorp KY,NASDAQ
CASY,Casey's General Stores Inc.,NASDAQ
EBMT,Eagle Bancorp Montana Inc.,NASDAQ
FAST,Fastenal Company,NASDAQ
LYBC,Lyons Bancorp Inc.,
NKSH,National Bankshares,NASDAQ
SJI,South Jersey Industries,NYSE
VGR,Vector Group Ltd.,NYSE
BKUTK,Bank of Utica,
MMP,Magellan Midstream Partners LP,NYSE
NUS,Nu Skin Enterprises Inc.,NYSE
RBA,Ritchie Brothers Auctioneers Inc.,NYSE
SO,Southern Company,NYSE
AUBN,Auburn National Bancorp,NASDAQ
BG,Bunge Limited,NYSE
FLO,Flowers Foods,NYSE
HDB,HDFC Bank Limited,NYSE
LHX,L3Harris Technologies Inc,NYSE
MCHP,Microchip Technology Inc.,NASDAQ
MXIM,Maxim Integrated Products,NASDAQ
PPL,PPL Corp.,NYSE
RGLD,Royal Gold Inc.,NASDAQ
THVB,Thomasville Bancshares Inc.,
WRB,W.R. Berkley Corp.,NYSE
ADI,Analog Devices Inc.,NASDAQ
ANDE,Andersons Inc. (The),NASDAQ
ATRI,Atrion Corp.,NASDAQ
AVA,Avista Corp.,NYSE
AXS,Axis Capital Holdings Ltd.,NYSE
CASS,Cass Information Systems Inc.,NASDAQ
CBRL,Cracker Barrel Old Country,NASDAQ
DGICA,Donegal Group Inc. A,NASDAQ
DGICB,Donegal Group Inc. B,NASDAQ
FDX,FedEx Corp.,NYSE
HCSG,Healthcare Services Group Inc.,NASDAQ
IFF,International Flavors & Fragrances,NYSE
LARK,Landmark Bancorp Inc.,NASDAQ
MSFT,Microsoft Corp.,NASDAQ
MSM,MSC Industrial Direct Co. Inc.,NYSE
MYBF,Muncy Bank Financial Inc.,
NHI,National Health Investors,NYSE
NKE,Nike Inc.,NYSE
ODC,Oil-Dri Corp. of America,NYSE
OKE,ONEOK Inc.,NYSE
